iteration,avg_score,selected_links
10,-116.3952949514776,"[ 9211 21481 44411 12973  9872 40982 15790 11380 41808  4934 37363  1671
 34863 42383 33976 28482 26641  8486 14840 38828  8194  8079  4752 29706
  4664  8628  8412  4811  5998 31115 38552 19054 29768 41145 34835 10199
  8921  6352 11101 27059 42117 10453 25847 25196  4614 30292 26316 38873
 16704 15506 11636 13852 41180 13383  4487 24771  3702 24311 28189 22678
 24270 13844 12402 38882  6682 36536 27606 15703 26377 28677   823 19489
 35547 37071  5798 13078 12606 44556 18150 40669 38163 34256 14178 42102
  4440  3800 39933 34709 44441 40396  1296 29700 28917 35286  1692 41586
  2995  1818 42145 40796]"
11,-116.84928034020282,"[37193  9187  8401 15953 16192  6615 27683  9645  2614 22904 27950 30149
 33899 14179 33974  6008 29062  4142  1264  8102  1497  6789 14268 31673
 15405 39236 27383 23791 24565 10070  4919 18102 18744  8415 41046  6472
 13738 35441 28291 33345 24232 18170 17536 26523 27664 22383 24829 16038
 43260  5304  1309  8637 40590 27330 19624 43427 11661  7931 15489  5796
  4790  4818   709 34046   985 15937 19821 34081 15337  8237 23397 20086
 38590  4042 40544 29195  5041 44400 44687 40877 15655 19691 28692 29609
 14079 14227  1845 32555 15746 24570 40497 39924 41879 13906 10789  9408
 18624  7947  5917 10252]"
12,-113.57561879838627,"[29127 36975 12723 17032 32619 13896 31691 25720 36682 15718  7083 13773
 17570 28632 36419  5674 37854   670 23416 35115 37250 30851 34377  7430
 26123 34271  7685  6972 40885  4392 12781 30852 30587 36128 26042  6026
 15525 39589 15648 44478 10088 22908 28506 14733 35191 23979 35414 36106
  1785 29228 44254 31015  7508 24873 42219 31376  5621 37029  3335 22696
 11465 32726 12758  5214 42278 33561 14657 10686 44941 28105 35386 33497
 38190 22417 27067 19207 23356 42239  9563 14426 39842 34729 31445 43364
 28477 40475 13466 24545  7774 38232  7067  5604 10134 42178  4048 18166
 26190  7181  8099  6520]"
13,-113.30203903609204,"[41572 22813 18576 33885 10754 15163  7859 14795  2254 14663 24381 43626
 14255 20889  9022 24284 13311  9091 37996  5563 13020 44301  6986 17326
 12489 44405 41686  2497  7747 22948  8537 25704 35199 15085  5303 13911
  8832 43934 23649 30282 20396 39923 11709  6538 43454  7989 18117 29297
 15329 30963 33643 28109 17259   488 11539 19524  9853 28053 12718 12634
 12342 31493 19192 23025  4172 27328 15125 44074 36544 18878 31088 17463
 16754 12775 25837 32977 15997  8417 36168  7542  6466 21647 41148 43740
 20965 10801 18443 41797 36989 25345 12578 10706 30669 41799 38063  2267
 25019 19395  2946 41237]"
14,-113.63957038490898,"[ 9525   870 30866 40846 33401  5891 10432  7563 37609 24945 18972 41257
  4168 39267 18948 19066  1645   560 16833 23625 13545 23554 22289  4964
 22912 31708 33171 12000 45026 42534  4560 41943 32998 30098 18835  7597
  9887 41561 13868 14542 18097   865 43223 23085 26543 34993 15645 11278
  9834 34322  1133  3965 27400 33262  5559 22714 13713  1777  6178  3786
 19236 38721 34249 35690 20262 13132 19776 13722 10759 12563  3472 24334
  2243  8150 18093 12076 24212 22041 21883  4076 35741 11115 33243  4908
 35043 44053 17087 29494 43259 19270 23345 34599  9729 38157 38098 40918
 36840  2556 40346  3332]"
15,-113.95035982989864,"[40381 42425 10261 19321 40652 19789  6549 27740 11704 44616  6989 23800
 27111 22252   850 33649 35298 28586 19044 10689 33033  6139 13720 40216
 29670  6529  8100 41968 40518 10360 17908 23127 17534  4346 14000  4749
 30901 29522 15575 36878 42856 10031 19964 11138 27624 10470 13742 30588
 35540  7937 29203  6224 28941  3107  4278 40666 19742 24749 21891 38569
  7511 21392 33588 40334 41101  2759 40359 29743 19889  6518 18015  8215
 13226 19992 11387 42779 28086  2760 11347 36963  8045 33741 28563 26244
  9917 36154 28730 29226 27765  5320  8870 12277 39234 24474 38323 26928
 44423  8352  7069 41691]"
16,-113.70559371933275,"[12575 12209 42412  2786  7966 41846 19985  3384 37314 40524  3386 37809
  2733 40350 26713 35054   864 24811 26866 38378  9444  6533  8520 41505
 30811 25773 17039 29783 44199 34784 29045  4810  3544 38119 39338 41161
 22977  9819 26719  4754  4711 18398  4512 37228 39268  8002 30688 14724
 37366 15230 44139 23122 30823 34799 10995 42230  9286  9217  6739 10944
 28370   526 27350  2627 10338  7592 19406  6595 36372 44331 42562 12566
 22637 42174  7125  4446 15408 40841 23544  9612 15933 37085  8085 24107
 40464  3075 41242 35024  2597  5814  7000 19882 17978 32896 37343 34247
  3185 40624 37410 39091]"
17,-115.83390578999024,"[40177 13705 12742 30705  7569 24000 24120 25578 24191 10081  3990  2349
 24942  8662  9886 37057 36386  4104 12500  9281 12649  9938 35255 19702
  6865 30287 33757   989 19164 14723 28744 29905 12307 22723  1077  3067
 30847 19927 21491 12362  6579 30945  6676 19673 33232 19136 20065 37425
  9465 41102 23292  8681   768 26217  1855 11565 32597 14879 19017 25952
 29186 43565 31657 35588 22272 27204 12739  7696 34859 28187 21456 27828
 30840 41301 24913 19093 33281 10425 11373 10080 35285 29746 43603  5197
  5399 12021 25462 27495  3383 31676  9719 25289 10680 19502  7390  2675
 19503 12161 33554 14554]"
18,-114.00626976338464,"[38595 10445 19390 43946 24050 28561 17417 22447  2754 18712 21257  8625
 32924 17026 33204  5770 24220  7948 28289  2863 42022 36451 34906 28559
  6365  9425   657 12507 32934 25212 40352 25481 40626 33469 23290 11703
 32819 23930  9383 15614 42327 22201 40247  1583 22575 19835 31458  1115
 13974 41947 15343 26330  6423  7091 25322 43827 23400 21619 10994   589
   858 24803 18451 23142  7235 44183 18793  8067  7382 29054 14078  8325
  8176 44739 42787 12725 35221 29207 21075 23925 37361  1896 38737 17162
 44477  1222 45091  5224 21179  5311 28793 25687  2255 26516 39204 44215
 17372 32897 25461  4199]"
19,-114.2644477156254,"[39927 29005  4119 17486  4347  8688 23389 44243 27647 39907 31689 20116
 33995 12102 33011  9434 22819 13962 40503  8335 17350 26510  8842 32839
 29452 37557  7734 15788  3843 18519   253 37052 43022  1945  8781  3123
 24543 13033 11259 21556 22820 15267  4427 19385 28469 13908 44489  2240
 30037  5280  4393 21501 41093  9324 34306 24227 15164 34740 33822 29060
 30152  2544 27438 34624 16297 12053 29904 22660  5405 34269 30174 25472
 19216 13265 25550 37218   794 17217 39978 21424  2740 14762 40129 40257
 34077 27978 43125 24209  8904 10521  2850  9633 35384 14367 28330 13562
  4604 40355 24177 19274]"
20,-116.80201177625128,"[11029 26493  1470  9583 43233 19213 30349  7518 42855 33499  8812 32638
 33480 33298 20213 33125 23849 43904 12561 38964 32954 17164 10960 14270
 20975 14343  3095 44962 31484 11671   123  5279 36278 40703 44648 40832
  3644 17042 16777  1320 41950 26560 44247 39201 21968  4781 43221  3414
 44996 40706 27451 10162 39619 23844 16115 28727 34845 38066 31602 19854
 31692  3486 11107 15949  4574  4321 32567 10577 43359 30835 12993 14710
 31423  5985 20317 22423 36518 19092 20762 40539 28154 44675 10270 25667
 24838 15589 17649 10454 18614 18924 43710 13385 21917 36559 23317 17116
  7062 41648 32836 25396]"
21,-114.27385236070228,"[40514 12523  5911 16093 32541 40232 42539  2545  5068  7283  3164 38577
 19598 24141  1002  9871 24053 35439  8653  9618 36961 12937 23628  6108
 13951 18795   506  7939 13468 25038 37518 26858 27387 11717 11391 11685
  6656 24556 18623 27270 28527 21680  2301 39076 21449  8839 18963 35626
  1667 18007 23819 19447  6172 12543 22932 21892 22697 34866 45185  5330
 26805 16779 33249 21412  4270 21520 38016 36291  9409  9705 34793 16109
 44207  4745 17898  9149 29596 16695 41972   975 25116 13123 40553 11745
 40478 11956 12611 15761 19053 40814  6729 25079 32851  1252  1452  5332
 19052 25719  9112 22366]"
22,-114.30509213826195,"[  936  7559 21035  6435 10114 34064 12346 31047  4782 27903 24095 28566
 41523 21672 37974  1969  7341 24965 22037 34312 44170 18077  8872 41751
 38390 37473 13353 32883 37211  3539 39989 10818 37555  9507  6955 19114
 35627 36126  8029 13200 10202 18611 43906  1545 34041 31955 33041 31236
 25141  7724 37154 17415 15723 29917 33618 28984 23193 17909 37536 33016
 34805  2421 40431  6973 22266 33505 32608 30093 18500 11536 15929  4815
 33453 37549 44989 38472 21784 25886 31581  1961   606 43926 22962  3161
 41899 34042  6122 39913 16045 30564 39169 36586 36521 15378  8459 10044
 18750 36247 14374 20828]"
23,-114.0065151019518,"[30330 28958 28585  1707 15909 23328 33981 12503 21879 37232 29626 41747
 30080 40035 23419  7969 17498 17427   593  8926 41539 17405  4855 15860
 10200 21327 20043 24203 12706 41822 43655  5698 20106 27476 34425 30712
  7515  9666 25851  1538 19414 27977 33366 37879 25643  6040 14083 30191
 14201  8189 22457 13815 27553 18960 34890  4400 21168  4431 25039 45170
 19935 42006 29830 13068 12449 22643   604 20639 27277 24012 21762 41524
 37092  4916 29712 34281  8042 39999  8577 37315  7987 29588  2856 32875
 16757 17267 38374  8854  9727  9284 29174 11063 31908 22087 37547  1851
 31662 14885 30871 15463]"
24,-113.6137007959874,"[22137 19709 26214  5046 13583 27781  5023  7766 13737 21513 39154 17125
  1461  6113 13324 39809   270  8830 10431 33342 20222 13981  7826 27389
 42008  7123 40875  7740 40118 37344 14704 30793 11205 15192  4821 16739
 28425 36454 10833 19048 26482  7577 44313 26861 42691 21808 11362 11672
 10992 31547 40243 19674 40658   763  9845 13612 18316 36949 13478 42254
 38265  1512 25601  8140 31572 15346 28110  7059 25164 40191 29689 14908
  4035 27911 34147 10543 26319 37054 10991 29817 34137  5174 14197 13879
 13090 30877 10321 35569 36315 13169 12572 14804 37606 15750 30038 37526
 10943 15152 13364  1798]"
25,-114.01014066077856,"[17166 19514 36678 26822  3806 22007 30787 40358 29480 35867 34916  8746
 35249 29271 11821  8052 15249  4880 26065 15573 23182  1551 34150  5138
 20025  8648 17325 30081  6911 17226 18140 36994 27504 33992 24174 24303
  8333  6685 15662 18600 33341 21555  8240 15523 15972 44124 14736 39571
 43907 29903 33701 40916 35250 13481 31411 11509 11123 38506 19409  7540
  8269  8218 23259   519  1064  9360 24410 33709  4261  7835 33514 35629
 41900 32737  4271 26267  9635 25524 40402 38597 25908 22630  9490  6889
 21515 11693  4387  5430 18177  6176 21689 27945 13967  7201 12447 34179
 41685 18846 33324  8987]"
