link_id,average_reward,count
1,0.0,0
100,0.0,0
101,0.0,0
102,0.0,0
1025,182.7408825481617,1
1026,0.0,0
1027,0.0,0
1028,0.0,0
1029,0.0,0
103,0.0,0
1030,0.0,0
1031,0.0,0
1032,0.0,0
1033,0.0,0
1034,0.0,0
1035,179.0692568114574,1
1036,0.0,0
1037,0.0,0
1038,0.0,0
1039,0.0,0
104,193.73530557466628,1
1040,0.0,0
1041,0.0,0
1042,0.0,0
1043,0.0,0
1044,0.0,0
1045,0.0,0
1046,0.0,0
1047,0.0,0
1048,181.08586350163685,1
1049,0.0,0
105,0.0,0
1050,175.57494536389788,1
1051,0.0,0
1052,0.0,0
1053,0.0,0
1054,0.0,0
1055,0.0,0
1056,0.0,0
1057,184.9501567513004,1
1058,181.08586350163685,1
1059,0.0,0
106,182.7408825481617,1
1060,196.77756548735505,1
1061,197.63092794117503,2
1062,0.0,0
1063,0.0,0
1064,0.0,0
1065,0.0,0
1066,0.0,0
1067,183.76178905750788,1
1069,0.0,0
107,0.0,0
1070,0.0,0
1071,0.0,0
1072,0.0,0
1073,0.0,0
1074,181.3748232917148,1
1075,0.0,0
1076,0.0,0
1077,0.0,0
1078,0.0,0
1079,0.0,0
108,0.0,0
1080,0.0,0
1081,0.0,0
1082,0.0,0
1083,0.0,0
1084,0.0,0
1085,0.0,0
1086,0.0,0
1087,0.0,0
1088,0.0,0
1089,0.0,0
109,0.0,0
1090,0.0,0
1091,0.0,0
1092,0.0,0
1093,193.73530557466628,1
1094,0.0,0
1095,0.0,0
1096,0.0,0
1097,0.0,0
1098,0.0,0
1099,193.03758111283827,1
1100,0.0,0
1101,0.0,0
1102,0.0,0
1103,181.08586350163685,1
1104,0.0,0
1105,182.92916238197864,1
1106,0.0,0
1107,0.0,0
1108,0.0,0
1109,0.0,0
1110,0.0,0
1111,0.0,0
1112,0.0,0
1113,0.0,0
1114,0.0,0
1115,0.0,0
1116,193.00788164661927,3
1140,0.0,0
1141,0.0,0
1142,0.0,0
1143,0.0,0
1144,0.0,0
1145,0.0,0
1146,0.0,0
1147,0.0,0
1148,0.0,0
1149,0.0,0
1150,0.0,0
1151,0.0,0
1152,186.5660890873025,1
1153,192.11223371781105,1
1154,0.0,0
1155,0.0,0
1156,0.0,0
1157,0.0,0
1158,0.0,0
1159,0.0,0
1160,0.0,0
1161,0.0,0
1162,0.0,0
1163,0.0,0
117,0.0,0
1170,0.0,0
1171,0.0,0
1174,0.0,0
1175,0.0,0
1176,0.0,0
1178,0.0,0
1179,0.0,0
118,192.11223371781105,1
1180,0.0,0
1181,0.0,0
1183,0.0,0
1184,0.0,0
1185,0.0,0
1186,0.0,0
1188,0.0,0
1189,193.03758111283827,1
119,193.03758111283827,1
1190,174.32423223158725,1
1191,0.0,0
1192,0.0,0
1193,193.03758111283827,1
1194,0.0,0
120,0.0,0
1200,0.0,0
1207,0.0,0
1208,0.0,0
1210,0.0,0
1211,0.0,0
1212,0.0,0
1213,0.0,0
1214,192.11223371781105,1
1215,0.0,0
1216,0.0,0
123,0.0,0
1238,0.0,0
1239,0.0,0
1240,0.0,0
1241,193.73530557466628,1
1242,0.0,0
1247,186.5660890873025,1
1248,0.0,0
1271,179.0692568114574,1
1272,0.0,0
1273,0.0,0
1282,0.0,0
1290,0.0,0
1291,183.76178905750788,1
1292,0.0,0
1294,181.3748232917148,1
1295,0.0,0
1296,0.0,0
1297,0.0,0
1298,0.0,0
1299,0.0,0
1300,0.0,0
1302,0.0,0
1304,0.0,0
1305,187.4732422386392,1
1306,0.0,0
1307,0.0,0
1308,0.0,0
1309,0.0,0
1310,0.0,0
1311,0.0,0
1312,196.77756548735505,1
1313,0.0,0
1314,0.0,0
1315,0.0,0
1316,0.0,0
1317,192.35619008888227,1
1320,182.92916238197864,1
1321,0.0,0
1322,0.0,0
1323,0.0,0
1324,0.0,0
1325,0.0,0
1326,0.0,0
1327,0.0,0
1328,0.0,0
1329,0.0,0
1330,0.0,0
1331,0.0,0
1332,0.0,0
1333,0.0,0
1334,0.0,0
1335,0.0,0
1336,0.0,0
1337,0.0,0
1338,0.0,0
1339,0.0,0
1340,0.0,0
1341,0.0,0
1342,0.0,0
1343,0.0,0
1344,0.0,0
1345,0.0,0
1346,0.0,0
1347,0.0,0
1348,0.0,0
1349,0.0,0
1350,183.76178905750788,1
1351,0.0,0
1352,0.0,0
1353,0.0,0
1354,0.0,0
1355,0.0,0
1356,0.0,0
1357,0.0,0
1358,0.0,0
1359,0.0,0
1360,0.0,0
1361,0.0,0
1362,0.0,0
1363,0.0,0
1364,0.0,0
1365,180.22204005158608,2
138,0.0,0
139,0.0,0
140,0.0,0
141,0.0,0
1496,0.0,0
1499,184.9501567513004,1
1500,0.0,0
1501,0.0,0
1502,0.0,0
1503,0.0,0
1504,0.0,0
1505,0.0,0
1506,0.0,0
1510,0.0,0
1512,0.0,0
1513,186.21169949496976,2
1514,0.0,0
1515,0.0,0
1516,0.0,0
1517,0.0,0
1518,0.0,0
1522,0.0,0
1529,0.0,0
1530,186.5660890873025,1
1532,0.0,0
1533,0.0,0
1539,0.0,0
154,0.0,0
1540,0.0,0
1541,0.0,0
1542,0.0,0
1543,0.0,0
1544,0.0,0
1545,0.0,0
1546,0.0,0
1547,0.0,0
1548,0.0,0
1549,0.0,0
155,0.0,0
1550,0.0,0
1551,0.0,0
1552,193.73530557466628,1
156,0.0,0
157,0.0,0
1570,182.7408825481617,1
1571,0.0,0
1575,0.0,0
1576,0.0,0
1577,0.0,0
1579,0.0,0
158,0.0,0
1580,0.0,0
1581,0.0,0
1582,0.0,0
1583,0.0,0
1585,0.0,0
1586,0.0,0
1587,0.0,0
159,0.0,0
16,0.0,0
1605,0.0,0
1606,0.0,0
1607,0.0,0
1608,186.5660890873025,1
1609,182.92916238197864,1
1611,193.03758111283827,1
1630,0.0,0
1632,0.0,0
1633,0.0,0
1634,0.0,0
1639,0.0,0
1640,197.63092794117503,2
1641,0.0,0
1642,0.0,0
1643,0.0,0
1644,0.0,0
1645,0.0,0
1647,0.0,0
1651,0.0,0
1652,0.0,0
1655,0.0,0
1656,0.0,0
1657,0.0,0
1659,0.0,0
1660,0.0,0
1661,192.35619008888227,1
1670,0.0,0
1671,0.0,0
1674,0.0,0
1678,0.0,0
1679,0.0,0
1680,0.0,0
1705,0.0,0
1706,0.0,0
1707,0.0,0
1708,197.63092794117503,2
1709,0.0,0
171,0.0,0
1710,0.0,0
1711,0.0,0
1712,0.0,0
1713,0.0,0
1714,0.0,0
1715,0.0,0
1716,0.0,0
1717,0.0,0
1718,0.0,0
1719,0.0,0
172,0.0,0
1720,0.0,0
1721,0.0,0
1722,0.0,0
1723,0.0,0
1724,0.0,0
1725,0.0,0
1727,0.0,0
1728,0.0,0
