link_id,success_count,failure_count,high_score
1,1.0,5.0,32.92159078510742
100,9.0,12.0,39.457709028603205
101,5.0,9.0,37.41047520982871
102,2.0,7.0,38.81771693554256
1025,2.0,6.0,36.37188348132803
1026,1.0,5.0,27.968750443595127
1027,3.0,6.0,38.954260413874366
1028,2.0,7.0,42.189528863323815
1029,1.0,4.0,33.972269558762136
103,2.0,6.0,37.56702764523912
1030,4.0,8.0,40.88162345828302
1031,7.0,10.0,39.45443689365645
1032,2.0,6.0,35.39211720022043
1033,2.0,7.0,40.235159371461584
1034,3.0,7.0,39.457709028603205
1035,2.0,5.0,33.23933556303852
1036,7.0,10.0,40.147692167685946
1037,1.0,6.0,33.753934767736204
1038,2.0,6.0,36.37035264140954
1039,2.0,6.0,37.68014787421892
104,3.0,7.0,41.55095745664516
1040,4.0,7.0,42.10312777348926
1041,7.0,9.0,40.147692167685946
1042,1.0,5.0,25.91624727024192
1043,1.0,4.0,30.445665292304323
1044,6.0,9.0,40.637715791615946
1045,3.0,6.0,39.38244285633829
1046,2.0,5.0,35.079382574500336
1047,3.0,7.0,36.1895293255556
1048,3.0,6.0,33.61548240529747
1049,5.0,9.0,38.66588328723099
105,1.0,5.0,28.477719354767466
1050,2.0,6.0,36.99104121966952
1051,11.0,13.0,39.63864357862342
1052,2.0,6.0,41.82420356756808
1053,5.0,8.0,40.90080337641509
1054,1.0,4.0,34.10969368725229
1055,2.0,6.0,38.446946629657305
1056,9.0,10.0,41.38583738596875
1057,1.0,5.0,33.22577803907447
1058,7.0,10.0,42.57203721989794
1059,3.0,6.0,42.33077675237297
106,2.0,5.0,38.70664662718031
1060,3.0,7.0,41.55095745664516
1061,1.0,6.0,32.17357132827292
1062,3.0,5.0,41.19362906924794
1063,10.0,10.0,39.62196554664905
1064,6.0,8.0,39.844772603392144
1065,2.0,6.0,35.574676590613606
1066,2.0,8.0,38.3516602673268
1067,4.0,9.0,35.31279534050303
1069,2.0,7.0,38.32238817707516
107,5.0,9.0,42.33077675237297
1070,2.0,7.0,36.60719998599974
1071,4.0,9.0,36.68812369182025
1072,1.0,6.0,21.11630755604592
1073,2.0,5.0,39.993322559143024
1074,1.0,4.0,36.81096999160856
1075,4.0,8.0,39.37985393490088
1076,3.0,6.0,37.80412541997215
1077,2.0,6.0,38.24525307385887
1078,2.0,6.0,38.06753604795803
1079,3.0,6.0,39.63864357862342
108,6.0,10.0,40.147692167685946
1080,1.0,5.0,25.563281272205508
1081,3.0,8.0,40.24111777619159
1082,1.0,4.0,30.695136021652463
1083,4.0,8.0,40.2267574741518
1084,2.0,6.0,35.7983012400341
1085,1.0,5.0,33.45548177218061
1086,1.0,5.0,36.86932636769801
1087,1.0,5.0,36.263630865973305
1088,2.0,6.0,40.90080337641509
1089,7.0,9.0,39.36675045934589
109,3.0,7.0,39.50207169721378
1090,2.0,6.0,40.86921713109695
1091,3.0,7.0,38.3516602673268
1092,5.0,8.0,38.36881412609496
1093,4.0,7.0,38.77923191389343
1094,2.0,7.0,34.381424843620884
1095,2.0,6.0,39.36675045934589
1096,2.0,6.0,33.84555317184186
1097,3.0,7.0,37.55488753481713
1098,5.0,8.0,40.28995687256902
1099,1.0,5.0,30.398107416475813
1100,1.0,4.0,26.428770000197023
1101,2.0,5.0,37.57609032164156
1102,1.0,5.0,31.538403780888608
1103,3.0,5.0,42.69608735403782
1104,2.0,6.0,36.109997477191904
1105,4.0,8.0,42.33077675237297
1106,1.0,4.0,36.28972964325304
1107,2.0,6.0,37.57609032164156
1108,1.0,5.0,30.941146012473105
1109,3.0,8.0,32.20664245453784
1110,8.0,10.0,36.20623172293688
1111,2.0,5.0,38.32460637553443
1112,2.0,6.0,38.32460637553443
1113,2.0,5.0,35.82318524274248
1114,2.0,6.0,39.63864357862342
1115,1.0,5.0,31.835047930223748
1116,2.0,7.0,37.92586516830044
1140,1.0,5.0,33.65122652484891
1141,1.0,5.0,23.75284558708704
1142,3.0,6.0,36.89750764478914
1143,7.0,10.0,42.57203721989794
1144,1.0,5.0,31.67930705677164
1145,1.0,5.0,33.211734799966926
1146,2.0,6.0,34.6459728235799
1147,1.0,6.0,34.584701991731855
1148,2.0,7.0,34.589924823166285
1149,1.0,4.0,28.09868478696076
1150,2.0,5.0,35.82318524274248
1151,4.0,7.0,37.82834407483496
1152,6.0,10.0,41.99754602728531
1153,1.0,5.0,35.224706501893
1154,2.0,5.0,38.69092765469584
1155,9.0,12.0,39.86346259771982
1156,4.0,7.0,41.55095745664516
1157,5.0,9.0,41.49577630873395
1158,2.0,5.0,37.43634514164953
1159,1.0,5.0,29.785357626504805
1160,3.0,7.0,36.60719998599974
1161,1.0,5.0,34.35266420684387
1162,5.0,8.0,39.65858533660359
1163,3.0,7.0,38.40629247742847
117,2.0,7.0,38.92138399382989
1170,4.0,7.0,36.81096999160856
1171,3.0,5.0,38.25044083103815
1174,1.0,5.0,36.28972964325304
1175,2.0,7.0,37.33022589431748
1176,4.0,8.0,35.52445165239524
1178,4.0,7.0,39.37985393490088
1179,4.0,7.0,38.39931352360033
118,1.0,5.0,31.886344680222628
1180,5.0,8.0,39.974443075660176
1181,4.0,9.0,40.12834635245431
1183,2.0,6.0,37.80412541997215
1184,1.0,4.0,36.06324727422785
1185,1.0,5.0,35.224706501893
1186,1.0,4.0,30.597386472831204
1188,1.0,5.0,35.224706501893
1189,3.0,7.0,38.0753440285156
119,16.0,17.0,42.189528863323815
1190,3.0,8.0,37.21477074899461
1191,2.0,5.0,41.99754602728531
1192,15.0,14.0,42.189528863323815
1193,1.0,6.0,37.01490332053634
1194,2.0,7.0,38.163906990742205
120,1.0,4.0,36.995890276994814
1200,3.0,8.0,40.24111777619159
1207,3.0,6.0,39.974443075660176
1208,1.0,4.0,27.747463549920248
1210,4.0,7.0,42.57203721989794
1211,1.0,5.0,29.318718549184133
1212,2.0,5.0,37.68221102376104
1213,1.0,5.0,30.5917886158313
1214,1.0,6.0,36.7917545185148
1215,1.0,5.0,33.276311883951266
1216,5.0,8.0,38.24525307385887
123,3.0,7.0,40.90080337641509
1238,1.0,5.0,34.47291184762034
1239,2.0,7.0,39.39223368443864
1240,4.0,8.0,40.92387776299511
1241,4.0,8.0,37.27603176112355
1242,15.0,15.0,40.88162345828302
1247,2.0,6.0,38.07780372552032
1248,2.0,6.0,37.21713119974244
1271,1.0,6.0,31.380364644583807
1272,3.0,8.0,33.72534108940549
1273,1.0,5.0,28.72431218442064
1282,2.0,6.0,34.145567905521034
1290,3.0,7.0,36.81958319068903
1291,3.0,5.0,39.74660862766178
1292,4.0,8.0,37.261358496811326
1294,3.0,7.0,40.12834635245431
1295,1.0,5.0,32.5831833914996
1296,1.0,5.0,31.389101079029025
1297,2.0,7.0,37.29074724575534
1298,2.0,7.0,38.163906990742205
1299,1.0,5.0,34.47291184762034
1300,11.0,14.0,40.24111777619159
1302,14.0,12.0,41.38583738596875
1304,2.0,7.0,37.68014787421892
1305,4.0,7.0,37.92586516830044
1306,1.0,5.0,32.6497475791786
1307,5.0,9.0,42.57203721989794
1308,1.0,5.0,33.30307605784173
1309,1.0,5.0,35.574676590613606
1310,2.0,6.0,35.53762955197844
1311,2.0,6.0,39.844772603392144
1312,9.0,11.0,38.987248344254766
1313,1.0,5.0,30.951394972806344
1314,2.0,7.0,40.63253111054279
1315,2.0,6.0,35.14325199075158
1316,4.0,8.0,40.147692167685946
1317,2.0,6.0,37.41047520982871
1320,2.0,7.0,36.68812369182025
1321,2.0,6.0,36.39341306489105
1322,3.0,7.0,40.9662710065406
1323,4.0,9.0,37.36547436360872
1324,1.0,5.0,26.64218517162603
1325,1.0,6.0,34.17727327694634
1326,4.0,6.0,40.201481883055386
1327,1.0,6.0,35.797174606941944
1328,2.0,6.0,38.26956607669907
1329,3.0,8.0,41.38583738596875
1330,7.0,11.0,38.80172763193725
1331,1.0,5.0,32.22372599356939
1332,9.0,10.0,42.33077675237297
1333,5.0,9.0,42.69608735403782
1334,6.0,8.0,38.26956607669907
1335,21.0,18.0,42.04103211161173
1336,7.0,9.0,41.55095745664516
1337,1.0,4.0,36.81096999160856
1338,1.0,5.0,35.942662281082406
1339,1.0,5.0,35.572129394504664
1340,2.0,7.0,37.33022589431748
1341,1.0,5.0,32.11183303399342
1342,2.0,6.0,38.049155005753406
1343,1.0,4.0,23.96482454849294
1344,2.0,6.0,38.06753604795803
1345,2.0,6.0,36.66257324305017
1346,1.0,5.0,31.389101079029025
1347,1.0,6.0,20.619706421144112
1348,2.0,5.0,39.87592726254613
1349,8.0,12.0,42.10312777348926
1350,7.0,8.0,40.28995687256902
1351,1.0,5.0,29.4914794651064
1352,3.0,8.0,40.12834635245431
1353,2.0,7.0,38.3516602673268
1354,1.0,5.0,25.820574300852144
1355,3.0,7.0,38.27985888519739
1356,3.0,7.0,38.61179583889192
1357,3.0,7.0,38.5460419790602
1358,3.0,6.0,33.68011683767499
1359,22.0,19.0,42.69608735403782
1360,3.0,6.0,41.82420356756808
1361,3.0,7.0,35.057211672705066
1362,1.0,5.0,21.09559873634497
1363,1.0,5.0,28.199231905262167
1364,1.0,4.0,27.60468590137956
1365,1.0,5.0,28.978609830272053
138,1.0,5.0,33.23933556303852
139,4.0,7.0,38.43314329488151
140,2.0,7.0,34.56072812957864
141,2.0,5.0,37.39803065728737
1496,1.0,5.0,30.28982799042376
1499,11.0,12.0,42.69608735403782
1500,2.0,5.0,37.21713119974244
1501,1.0,5.0,25.74638081578621
1502,1.0,5.0,34.79883291739769
1503,2.0,5.0,38.32460637553443
1504,4.0,8.0,41.19362906924794
1505,2.0,6.0,34.66137969540072
1506,2.0,7.0,38.954260413874366
1510,3.0,7.0,40.637715791615946
1512,1.0,5.0,33.63945123849631
1513,1.0,5.0,36.263630865973305
1514,8.0,11.0,39.62196554664905
1515,1.0,4.0,18.77999310101316
1516,2.0,6.0,36.572086015237375
1517,2.0,7.0,36.57925657730011
1518,1.0,5.0,35.023177553859554
1522,5.0,8.0,41.19362906924794
1529,3.0,6.0,37.18296577580484
1530,2.0,6.0,37.92586516830044
1532,12.0,14.0,41.49577630873395
1533,2.0,6.0,33.23933556303852
1539,3.0,6.0,40.2267574741518
154,3.0,7.0,36.19057751379584
