link_id,average_reward,count
1000,-252.1338616885775,1
10000,-254.58304190143105,1
10001,-248.92554994279232,1
10002,-243.53393697515236,2
10003,-248.59513092847985,1
10004,-251.20584266994769,1
10005,-250.8375860803487,1
10006,-249.8167325086888,1
10007,-247.469769337046,1
10008,-248.5801815512808,1
10009,-247.8522925976291,1
1001,-255.0983474731774,1
10010,-250.8297605940886,1
10011,-247.82590721671687,1
10012,-253.25565054076748,1
10013,-246.31630075772256,2
10014,-251.8513049672948,1
10015,-247.08738369708328,1
10016,-254.9864996869812,1
10017,-253.03660708503287,1
10018,-250.37327839302185,1
10019,-252.1553386006948,1
1002,-250.91038873777563,2
10020,-248.23636341558145,2
10021,-243.29487511603315,1
10022,-255.66451870561076,1
10023,-255.28013621742957,1
10024,-251.8513049672948,1
10025,-255.20771538976288,1
10026,-245.60089750231987,2
10027,-246.30191265677905,1
10028,-249.79053062193728,1
10029,-247.3828012002674,1
1003,-252.64305798415435,1
10030,-250.50391814001648,1
10031,-252.4358472033324,1
10032,-251.9100015111276,1
10033,-252.2459874144589,1
10034,-250.8297605940886,1
10035,-250.72817094100094,2
10036,-250.39776137124107,1
10037,-255.80557984154703,1
10038,-261.6839394037518,1
10039,-254.46108844418455,1
1004,-251.1722497463467,1
10040,-245.3952410249768,1
10041,-253.10445674934687,1
10042,-252.5246367894997,1
10043,-248.37555587936868,1
10044,-261.6839394037518,1
10045,-254.3056284135305,1
10046,-255.09652872223245,1
10047,-246.9744052630437,1
10048,-253.936632450402,1
10049,-251.20584266994769,1
1005,-250.8297605940886,1
10050,-254.16505839431773,1
10051,-250.52720570774764,1
10052,-247.7584407313862,1
10053,-256.1954860436496,1
10054,-251.0290028711433,1
10055,-246.4251856529153,1
10056,-249.49321476372384,2
10057,-252.1338616885775,1
10058,-255.09652872223245,1
10059,-247.55160233577269,1
1006,-246.6684206549656,1
10060,-250.39776137124107,1
10061,-247.4461228763249,1
10062,-250.21433197331703,1
10063,-254.9460014463652,1
10064,-259.1310364181936,1
10065,-258.54074379897656,1
10066,-253.10445674934687,1
10067,-252.1894442285687,1
10068,-249.24256308960943,1
10069,-250.7006670552421,1
1007,-242.57647119141623,2
10070,-251.20584266994769,1
10071,-252.73596269671603,1
10072,-253.98272186602728,1
10073,-253.3258154696372,1
10074,-252.45108531398984,1
10075,-255.66451870561076,1
