iteration,avg_score,selected_links
1,160.36787367790652,"['529', '1292', '3973', '3140', '2804', '3170', '2880', '2669', '2722', '2902']"
2,188.90441615649476,"['226', '2184', '1290', '673', '2232', '1518', '4211', '69', '3959', '3966']"
3,165.1712971917473,"['2263', '3229', '1307', '2340', '3156', '3710', '1888', '2171', '489', '705']"
4,221.26459902910665,"['2660', '1349', '2888', '1104', '2049', '3159', '403', '3968', '392', '4611']"
5,142.09854467602352,"['414', '61', '3288', '2696', '1085', '342', '1857', '1211', '2309', '3181']"
6,147.5923553665052,"['2784', '275', '2494', '2765', '3228', '1031', '2414', '654', '4251', '3201']"
7,148.30897793962663,"['263', '3506', '2837', '2741', '2930', '2479', '2012', '2472', '2024', '2434']"
8,182.38059472659685,"['89', '1291', '1078', '4311', '4296', '3267', '2762', '2324', '4288', '1241']"
9,139.93893962142076,"['2773', '3507', '3690', '3283', '466', '2788', '2373', '510', '3697', '1785']"
