iteration,avg_score,selected_links
1,183.5508109993478,"['2869', '2305', '2720', '2920', '3711', '1365', '3699', '2836', '1308', '1106']"
2,201.2394353509829,"['4225', '1551', '1710', '3967', '4247', '3148', '154', '3266', '4197', '3289']"
3,150.44914994338546,"['3940', '3101', '1347', '3186', '93', '1083', '3692', '3277', '2814', '4547']"
4,189.718695569462,"['2373', '3051', '4318', '3237', '362', '659', '2366', '1194', '2274', '2880']"
5,144.8994862489342,"['1038', '1546', '1500', '1334', '3232', '3504', '3153', '442', '2971', '3293']"
6,177.45640297623407,"['4197', '3691', '2804', '3023', '2882', '1729', '30', '2263', '3178', '761']"
7,178.18640630874094,"['3059', '2945', '2724', '4546', '2400', '2763', '2355', '2877', '2330', '2475']"
8,165.96808968893748,"['2443', '3583', '1143', '3961', '1544', '1835', '1115', '2813', '341', '2804']"
