iteration,avg_score,selected_links
1,185.37597036698943,"['2232', '585', '3296', '2102', '4323', '1652', '593', '25', '458', '2511']"
2,141.95683202582205,"['1213', '2452', '1160', '403', '751', '2451', '2008', '754', '2105', '3171']"
3,169.30979896602267,"['664', '95', '1075', '1075', '1857', '656', '2717', '1754', '179', '1105']"
4,176.46667461154058,"['2418', '531', '253', '4209', '1576', '2290', '199', '2077', '91', '1097']"
5,193.2373267280876,"['1163', '2489', '3275', '4410', '3139', '1679', '3253', '1339', '1720', '1302']"
